stop_name	mainTrafficType	lat	lon
Dobronická	bus	50.0109825	14.471467
Doležalova	bus	50.1019173	14.5706511
Doliny	bus	50.0574226	14.4254436
Dolní Černošice	bus	49.96297	14.3323708
Dolní Chabry	bus	50.1510353	14.4375668
Dolní Měcholupy	bus	50.0565	14.5620842
Dolní Počernice	bus	50.0849838	14.5772009
Dolní Šárka	bus	50.11555	14.37425
Dolnočernošická	bus	49.9598236	14.3290415
Dolnokrčská	bus	50.035984	14.4426336
Dolnokřeslická	bus	50.0242767	14.5605345
Dolnoměcholupská	bus	50.0606	14.5567255
Dolnopočernický hřbitov	bus	50.0911636	14.5772362
Domov seniorů Ďáblice	bus	50.13546	14.4741259
Donatellova	bus	50.0726547	14.5082588
Donovalská	bus	50.0374	14.5088844
Dopravní hřiště Vypich	bus	50.08169	14.3438711
Dostihová	bus	50.0125275	14.3939095
Dreyerova	bus	50.0363159	14.3828335
Drinopol	tram	50.0839081	14.3706675
Drobná	bus	50.07283	14.55634
Druhanická	bus	50.07228	14.6528292
Družná	bus	50.0120659	14.4168005
Dřevařská	bus	50.12632	14.56448
Dubeč	bus	50.06176	14.5961342
Dubeček	bus	50.05602	14.5800676
Dubečská	tram	50.0654945	14.5018749
Dubečský hřbitov	bus	50.0531235	14.5801487
Dukla-Juliska	bus	50.1107	14.3859167
Dunajecká	bus	50.12573	14.4266272
Důstojnické domy	bus	50.12427	14.5319748
Dvorce	tram	50.0477257	14.4143839
Dvorní	bus	50.1475334	14.4483843
Dvořákova	bus	50.14526	14.4375324
Dyrinka	bus	50.10765	14.3744669
Elišky Přemyslovny	bus	49.97494	14.3931131
Farkáň	bus	50.0615959	14.3827457
Ferrariho	bus	50.0413132	14.30453
Filadelfie	bus	50.04862	14.4531975
Filmové ateliéry Barrandov	bus	50.0311966	14.392292
Filosofská	bus	50.022	14.4282675
Flora	metroA	50.07792	14.4615164
Florenc	metroBC	50.0912437	14.4391136
Formanská	bus	50.0144958	14.5434151
Frančíkova	bus	50.0108337	14.3568172
Františka Veselého	bus	50.12156	14.619998
Franty Kocourka	bus	50.06065	14.403367
Fruta	bus	50.0430679	14.5821009
Fryčovická	trolleybus	50.1394157	14.5051384
Generála Janouška	bus	50.1024857	14.5639505
Geologická	tram	50.0365	14.387
Gercenova	bus	50.0500145	14.5435171
Goetheho	bus	50.1074371	14.4040918
Grussova	bus	50.03455	14.3704605
Habrová	bus	50.08794	14.4914856
Hadovitá	bus	50.0515556	14.4567366
Hadovka	tram	50.0994225	14.3751459
Háje	metroC	50.03046	14.5274429
Hájek	bus	50.050518	14.6280842
Hájová	bus	50.01735	14.6525841
Halenkovská	bus	50.0628853	14.2868671
Hamplova	bus	50.1597557	14.5257511
Hanspaulka	bus	50.1042061	14.372982
Hasičská	bus	50.07828	14.6036787
Hasičská stanice Modřany	tram	50.0059433	14.4396925
Hasova	bus	50.01539	14.4268045
Haštalské náměstí	bus	50.091	14.42404
Hejtmanská	bus	50.1053925	14.5570335
Hellichova	tram	50.08394	14.4043188
Hercovka	tram	50.1220741	14.4512243
Hládkov	tram	50.0887	14.3875685
Hlávkova	bus	50.0368233	14.3145828
Hlavní	bus	50.0462265	14.4876175
Hlavní nádraží	metroC	50.0860825	14.4351139
Hlohová	bus	50.0564346	14.5020008
Hloubětín	metroB	50.10618	14.5366907
Hlubočepy	tram	50.0417938	14.4043875
Hlušičkova	tram	50.0640144	14.31641
Hněvkovského	bus	50.03227	14.5185871
Högerova	bus	50.03455	14.3806
Holečkova	bus	50.0742226	14.3949718
Holešovická tržnice	tram	50.09834	14.4443007
Holoubkovská	bus	50.0438652	14.5597973
Holyně	tram	50.0271835	14.3582382
Holýšovská	bus	50.0402527	14.3182335
Horčičkova	bus	50.032	14.5344172
Horky	tram	50.06145	14.4466267
Horní cesta	bus	50.033268	14.39645
Horní Lysolaje	bus	50.1296043	14.3655291
Hornocholupická	bus	49.997467	14.4251671
Hostavice	bus	50.0902176	14.5634842
Hostivařská	tram	50.0527725	14.5294981
Hostivařské náměstí	bus	50.0501175	14.5263
Hostivařský hřbitov	bus	50.0467339	14.5233173
Hostivařský pivovar	bus	50.04651	14.5496216
Hostýnská	bus	50.0810661	14.495532
Hotel Golf	tram	50.06803	14.3466673
Hradčanská	metroA	50.0972977	14.4048729
Hradební	bus	50.0907478	14.427145
Hrazanská	bus	49.9775848	14.4395132
Hrdlořezská	bus	50.0937843	14.5095472
Hrnčíře	bus	49.999218	14.51675
Hrnčířský hřbitov	bus	50.00109	14.5163221
Hřebenka	bus	50.0751	14.39035
Hříbková	bus	50.0204	14.5804672
Hulická	bus	50.0777664	14.6602678
Huntířovská	bus	50.12955	14.5449171
Hůrka	metroB	50.04795	14.3403835
Hutě	bus	50.1084137	14.5585079
Hutmanka	bus	50.05712	14.3693132
Hybšmanka	bus	50.07795	14.38045
Chaplinovo náměstí	tram	50.0352974	14.3774252
Chmelnice	tram	50.092556	14.4869614
Choceradská	bus	50.0431442	14.4902639
Chodov	metroC	50.0307655	14.49146
Chodovec	bus	50.0395279	14.4904394
Chodovická	bus	50.1126	14.6177273
Chodovská	tram	50.0568962	14.46838
Chodovská tvrz	bus	50.0329475	14.5004253
Cholupice	bus	49.9869	14.4454842
Cholupické náměstí	bus	49.9884071	14.4490843
Cholupický hřbitov	bus	49.98423	14.4610243
Cholupický vrch	bus	49.9941521	14.4349337
Chotkovy sady	tram	50.0950241	14.4090662
Chvaly	bus	50.1126671	14.5972176
Chýnovská	bus	50.01635	14.4505339
I. P. Pavlova	metroC	50.07554	14.4305944
IKEA Černý Most	bus	50.10453	14.5885038
