stop_name,mainTrafficType,lat,lon
Hlavní nádraží,,49.8505520044039,18.2684410095482
Hlavní nádraží,,49.8513320046062,18.2681490086574
Hlavní nádraží,,49.8503210042886,18.2681920084481
Hlavní nádraží,,49.8506890044127,18.2679950085322
Náměstí S.Čecha,,49.8500110046368,18.2726770092088
Náměstí S.Čecha,,49.8500450042038,18.2737730087174
Muglinovská,,49.8490190044317,18.2780120086419
Muglinovská,,49.8495710040205,18.2775830091775
Muglinovská,,49.8486860039657,18.2785760089977
Křižíkova,,49.8455030040812,18.2804300087895
Křižíkova,,49.8460850045658,18.2803050086041
Křižíkova,,49.8448310043676,18.280410009192
Důl Jindřich,,49.8400560043903,18.2837210084323
Důl Jindřich,,49.840610004609,18.2834280094035
Stodolní,,49.8367210046046,18.2857380082209
Stodolní,,49.8368050044872,18.2859080090663
Elektra,,49.8342760046427,18.287953008905
Elektra,,49.8348240042519,18.2877820094917
Náměstí Republiky,,49.8316150042774,18.2798760092782
Náměstí Republiky,,49.8316550040018,18.2807400089015
Náměstí Republiky,,49.8316930044799,18.279855009528
Náměstí Republiky,,49.8318530044686,18.2780550093457
Náměstí Republiky,,49.8320040039383,18.2784710085928
Don Bosco,,49.8266560040817,18.278559009252
Don Bosco,,49.8277610042982,18.2787370093178
Dolní Vítkovice Hlubina,,49.8228550040661,18.2772650089196
Dolní Vítkovice Hlubina,,49.8233420045381,18.2778540091556
Dolní Vítkovice,,49.817852004033,18.2755230093023
Dolní Vítkovice,,49.8184440045762,18.2755630094845
Dolní Vítkovice,,49.8182720045718,18.2776790083265
"Vítkovice,Mírové nám.",,49.8143860045609,18.2647810086199
"Vítkovice,Mírové nám.",,49.8147560042036,18.266096008754
"Vítkovice,Mírové nám.",,49.8155040042271,18.2683490090209
"Vítkovice,Mírové nám.",,49.8152020038916,18.26792700885
"Vítkovice,Mírové nám.",,49.8136860046132,18.2649440085432
"Vítkovice,Mírové nám.",,49.8136450039572,18.2672190088578
"Vítkovice,Mírové nám.",,49.8144660041995,18.2667720092638
Stará ocelárna,,49.8115590046058,18.2585650091716
Stará ocelárna,,49.8118100043191,18.2592950085611
Stará ocelárna,,49.8131480042708,18.2619300089146
Stará ocelárna,,49.8120720046174,18.2599570094202
Ředitel.Vítkovic,,49.8086730046382,18.2526430091128
Ředitel.Vítkovic,,49.8079710039982,18.2514250092953
Ředitel.Vítkovic,,49.8083860041852,18.2519800093302
Ředitel.Vítkovic,,49.8089180039349,18.2534200086609
Městský stadion,,49.8027480040697,18.2554030088726
Městský stadion,,49.8030550042156,18.2546290083395
Městský stadion,,49.8027930040736,18.2591040082712
Městský stadion,,49.8011440044827,18.2556560089817
Most Čs. armády,,49.7991660038753,18.2606100083845
Most Čs. armády,,49.7997310045175,18.2603130090326
Nádraží Vítkovice,,49.8006650042511,18.2620080088301
Nádraží Vítkovice,,49.8002590042863,18.2623580082572
Nádraží Vítkovice,,49.7997940038918,18.2638170095295
Nádraží Vítkovice,,49.7997080039453,18.2631280095872
Nádraží Vítkovice,,49.7999040045876,18.2615410092674
Nádraží Vítkovice,,49.8002750039161,18.2612500089743
Nádraží Vítkovice,,49.8007540040437,18.2629890090758
Nádraží Vítkovice,,49.800783003969,18.2629850087602
Rodinná,,49.7975080042877,18.249603008688
Rodinná,,49.797591003948,18.2503200082251
Rodinná,,49.7966140038892,18.2486360087244
Rodinná,,49.7969540045232,18.2486260081526
Rodinná,,49.7967110040231,18.2492550086369
Rodinná,,49.7969950045714,18.2492990092748
Kpt.Vajdy,,49.7962150038889,18.244684009051
Kpt.Vajdy,,49.7961460044753,18.2457900094357
Rodimcevova,,49.795488003885,18.238119009075
Rodimcevova,,49.7954880042099,18.2387740094914
"Zábřeh,vodárna",,49.7940870040361,18.2319880093211
"Zábřeh,vodárna",,49.7945040042077,18.2325930094691
Kotva,,49.7908960044575,18.2286020085659
Kotva,,49.7913170043597,18.2292040083386
Kotva,,49.7915300038943,18.2306780087385
Kotva,,49.7911670042526,18.2312590087187
Kotva,,49.7911300043963,18.2286890086459
Kino Luna,,49.7871470038978,18.2258140094227
Kino Luna,,49.7876440040969,18.2261510092216
Kino Luna,,49.7884840043918,18.226227009125
Kino Luna,,49.7881180042677,18.2265220084066
29.dubna,,49.781159003744,18.2232410084667
29.dubna,,49.7815540045059,18.2235160085249
29.dubna,,49.7801020039695,18.2227790091412
29.dubna,,49.780211004374,18.2232670092647
Nové Výškovice,,49.7776790045541,18.2228090087887
Nové Výškovice,,49.7780360043284,18.2229380082832
Výškovice,,49.7738370045674,18.2228800087695
Výškovice,,49.7742040042957,18.2230080086672
Výškovice,,49.7750110038202,18.2226780090228
Výškovice,,49.7766260040811,18.2231400094094
Výškovice,,49.7741990039661,18.2231670088629
"Poruba,Vřesinská",,49.8225180046245,18.1586850085389
"Poruba,Vřesinská",,49.8222100042272,18.1585800088219
"Poruba,Vřesinská",,49.8225700045509,18.1582640090476
"Poruba,Vřesinská",,49.8221150042877,18.1585170085129
Fakultní nemocnice,,49.8266550038203,18.1615360082048
Fakultní nemocnice,,49.8265180046108,18.1615890082627
Fakultní nemocnice,,49.8291800044826,18.1629680093037
Fakultní nemocnice,,49.8276210039831,18.1623630095222
Hlavní třída,,49.8312460044278,18.1643240091904
Hlavní třída,,49.8305290039447,18.1640090092061
Rektorát VŠB,,49.8340310043919,18.1660090088263
Rektorát VŠB,,49.8345620042983,18.1678730089938
Rektorát VŠB,,49.8336880043292,18.1655970085919
Rektorát VŠB,,49.8334100041616,18.1658400081511
