stop_name,mainTrafficType,lat,lon
Ečerova,,49.218746,16.50885
Ruda,,49.220578,16.502837
Žebětínský rybník,,49.215096,16.49364
Drdy,,49.209636,16.492567
Křivánkovo náměstí,,49.20718,16.487513
"Žebětín, hřbitov",,49.204634,16.487304
Bartolomějská,,49.203579,16.489347
Borovník,,49.198437,16.49979
Pražská,,49.173478,16.531543
Skalní,,49.174201,16.537903
Jemelkova,,49.173163,16.54872
Svážná,,49.173409,16.553508
Nemocnice Bohunice,,49.175844,16.567503
Nemocnice Bohunice,,49.175872,16.566969
Svážná,,49.173544,16.553381
Jemelkova,,49.173333,16.548692
Skalní,,49.174278,16.534362
Hoštická,,49.173694,16.528538
Borovník,,49.198533,16.499685
Křivánkovo náměstí,,49.20688,16.4876
Drdy,,49.209191,16.492285
Žebětínský rybník,,49.215544,16.493531
Ruda,,49.220473,16.502554
Ečerova,,49.218044,16.509781
Ondrouškova,,49.217906,16.518033
Wollmanova,,49.222108,16.52284
Laštůvkova,,49.220549,16.526237
Vondrákova,,49.221445,16.528853
Zoologická zahrada,,49.227675,16.531519
Zoologická zahrada,,49.227603,16.531473
Zoologická zahrada,,49.228465,16.531116
Přístaviště,,49.228139,16.522365
Rakovecká,,49.225834,16.518322
Podkomorská,,49.225423,16.514275
Rakovec,,49.227614,16.508487
"Brno, Kozí horka",,49.236884,16.504661
"Brno, Rokle",,49.245683,16.496174
"Brno, Jelenice",,49.250702,16.485209
"Brno, Obora",,49.255668,16.475811
"Brno, Lávka Pod Hradem",,49.260154,16.465243
"Brno, Hrad Veveří",,49.254602,16.461532
"Brno, Nové Dvory",,49.251526,16.450321
"Brno, U Matky Boží",,49.25424,16.453227
U Luhu,,49.239053,16.530136
U památníku,,49.235964,16.527962
Pod Mniší horou,,49.227995,16.533868
Pod Mniší horou,,49.226808,16.534636
U památníku,,49.235993,16.528027
U Luhu,,49.239247,16.530084
Hlavní nádraží,,49.191815,16.613991
Horníkova,,49.211809,16.67649
Horníkova,,49.212138,16.676622
"Královo Pole, nádraží",,49.230335,16.595523
"Královo Pole, nádraží",,49.23045,16.595801
"Královo Pole, nádraží",,49.229633,16.595447
Semilasso,,49.228248,16.593466
Tylova,,49.23069,16.590539
Hudcova,,49.235202,16.587471
Vozovna Medlánky,,49.235779,16.585218
"Medlánky, škola",,49.238431,16.578024
Medlánky,,49.240555,16.573723
Olšanského,,49.244367,16.577644
Řečkovice,,49.246501,16.579153
Žilkova,,49.253039,16.575488
Černohorská,,49.258761,16.571447
Mácova,,49.265819,16.569345
Kouty,,49.264372,16.565032
Příjezdová,,49.261553,16.569939
Černohorská,,49.258654,16.57133
Díly,,49.25425,16.574421
Žilkova,,49.252181,16.576027
Řečkovice,,49.246674,16.579384
Olšanského,,49.24422,16.577351
Medlánky,,49.240459,16.573676
"Medlánky, škola",,49.238196,16.57841
Vozovna Medlánky,,49.235569,16.585596
Tylova,,49.231926,16.589459
Semilasso,,49.228055,16.593438
Řečkovice,,49.247624,16.57912
Palackého náměstí,,49.25084,16.581903
"Královo Pole, nádraží",,49.23045,16.595801
"Řečkovice, nádraží",,49.2509,16.589916
Palackého náměstí,,49.250816,16.581773
Řečkovice,,49.247787,16.579123
U Luhu,,49.239205,16.530054
Kubíčkova,,49.221996,16.519339
Kamechy,,49.215407,16.495966
Chvalovka,,49.21492,16.500086
Kavčí,,49.216872,16.500241
Říčanská,,49.218461,16.497565
Kubíčkova,,49.22159,16.519454
Mácova,,49.265791,16.568905
"Královo Pole, nádraží",,49.229218,16.596271
NC Královo Pole,,49.217553,16.607232
NC Královo Pole,,49.217588,16.606968
Tranzitní plynovod,,49.174213,16.522313
Pod dálnicí,,49.163539,16.55541
Točná,,49.164745,16.561481
Čermákova,,49.164349,16.564689
Svah,,49.164924,16.567717
Kosmonautů,,49.167006,16.568017
Osová,,49.168951,16.566714
ZŠ Vedlejší,,49.171054,16.569191
Vltavská,,49.172487,16.564821
Labská,,49.17151,16.559604
Labská,,49.171353,16.559418
Vltavská,,49.172655,16.563983
Pod nemocnicí,,49.171965,16.56858
Osová,,49.168617,16.566306
Kosmonautů,,49.167124,16.56745
Svah,,49.165199,16.567969
Čermákova,,49.164336,16.565516
Točná,,49.16476,16.561692
Pod dálnicí,,49.163512,16.555152
Tranzitní plynovod,,49.174004,16.523133
"Brno, Tribuna B",,49.209106,16.45304
